latitude,longitude,YYYY-MM-DD,daily_rain,max_temp,min_temp,et_morton_actual
-36.15,144.85,1/01/1978,0,37.9,18.4,0.1
-36.15,144.85,2/01/1978,0,28.3,17,4.3
-36.15,144.85,3/01/1978,0,24.1,11.7,0.3
-36.15,144.85,4/01/1978,0,26.8,15.6,0.2
-36.15,144.85,5/01/1978,2.7,19.7,16.3,1.3
-36.15,144.85,6/01/1978,10.7,26.4,15.6,2.9
-36.15,144.85,7/01/1978,5.9,25.5,15.2,4.9
-36.15,144.85,8/01/1978,0,30.7,11.5,4.2
-36.15,144.85,9/01/1978,0,34.3,13.5,4.3
-36.15,144.85,10/01/1978,0,32.5,15,2.1
-36.15,144.85,11/01/1978,0,23.2,8,4.2
-36.15,144.85,12/01/1978,0,27.9,8.8,3.9
-36.15,144.85,13/01/1978,0,31.8,10.4,4.5
-36.15,144.85,14/01/1978,0,37.8,12.8,2.9
-36.15,144.85,15/01/1978,0,37.5,21.8,0
-36.15,144.85,16/01/1978,0,25.8,10,3.4
-36.15,144.85,17/01/1978,0,27.7,11.1,0.3
-36.15,144.85,18/01/1978,0,30.6,15.5,0.6
-36.15,144.85,19/01/1978,0,31.4,13.6,3.6
-36.15,144.85,20/01/1978,0,34.6,14.1,4
-36.15,144.85,21/01/1978,0,31.5,16.9,0.4
-36.15,144.85,22/01/1978,0,29.5,21.9,0.4
-36.15,144.85,23/01/1978,0.4,32.4,20.4,2.1
-36.15,144.85,24/01/1978,13.6,30.5,19.3,4.3
-36.15,144.85,25/01/1978,0,31.4,12.5,3.9
-36.15,144.85,26/01/1978,0,34.1,13.5,5
-36.15,144.85,27/01/1978,0,23.1,16.7,2.9
-36.15,144.85,28/01/1978,0,23.7,11,2.9
-36.15,144.85,29/01/1978,0,23,11.5,0.4
-36.15,144.85,30/01/1978,5.3,21.9,12.3,1.4
-36.15,144.85,31/01/1978,0.1,32.1,11.9,5.1
-36.15,144.85,1/02/1978,0,34.1,13.7,4
-36.15,144.85,2/02/1978,0,35.6,16.9,4.8
-36.15,144.85,3/02/1978,0,37.3,19.1,3.4
-36.15,144.85,4/02/1978,0,34.9,22.3,0.1
-36.15,144.85,5/02/1978,0.3,24.1,10.7,3.3
-36.15,144.85,6/02/1978,0.1,24.4,10,3.6
-36.15,144.85,7/02/1978,0,26.3,10.8,2.3
-36.15,144.85,8/02/1978,0,30.2,11.9,4.6
-36.15,144.85,9/02/1978,0,24.7,16.5,3.6
-36.15,144.85,10/02/1978,0,30.4,8.8,2.8
-36.15,144.85,11/02/1978,1.1,23.6,14.7,3.8
-36.15,144.85,12/02/1978,0,26.8,12.5,3.2
-36.15,144.85,13/02/1978,0,32.3,11.7,3.7
-36.15,144.85,14/02/1978,0,30.6,16.2,3.6
-36.15,144.85,15/02/1978,0,32.6,12.1,3
-36.15,144.85,16/02/1978,0,33.7,15.9,0.3
-36.15,144.85,17/02/1978,0,33.5,14.8,2.6
-36.15,144.85,18/02/1978,0,33.6,13.3,2.8
-36.15,144.85,19/02/1978,0,36.6,15.3,3.4
-36.15,144.85,20/02/1978,0,39,16.9,2.4
-36.15,144.85,21/02/1978,0,25,14.9,0.7
-36.15,144.85,22/02/1978,0,24.4,8.1,3.5
-36.15,144.85,23/02/1978,0,29.9,9.6,0.9
-36.15,144.85,24/02/1978,0,35.5,13.2,2.6
-36.15,144.85,25/02/1978,0,28.1,17.6,2.4
-36.15,144.85,26/02/1978,0,32.6,11.4,3.3
-36.15,144.85,27/02/1978,0,36.1,16.1,0
-36.15,144.85,28/02/1978,0.3,23.1,13.2,3.2
-36.15,144.85,1/03/1978,0,24.7,10.3,2.6
-36.15,144.85,2/03/1978,0,25,11.4,2.8
-36.15,144.85,3/03/1978,0,22.6,10.7,1.7
-36.15,144.85,4/03/1978,0,28.6,10.8,1.8
-36.15,144.85,5/03/1978,0,33.2,12.4,2.1
-36.15,144.85,6/03/1978,0,35.2,13.1,1.3
-36.15,144.85,7/03/1978,1,31.9,18.4,0.3
-36.15,144.85,8/03/1978,0,33.9,18.8,0.7
-36.15,144.85,9/03/1978,0,35.7,16.2,0.6
-36.15,144.85,10/03/1978,0,38.6,17.3,0.4
-36.15,144.85,11/03/1978,0,38.4,21.5,0.1
-36.15,144.85,12/03/1978,0,33.7,21.6,0.1
-36.15,144.85,13/03/1978,5.1,28.5,18,2.5
-36.15,144.85,14/03/1978,0.1,32.3,15.5,3
-36.15,144.85,15/03/1978,0,33.3,19.4,1.5
-36.15,144.85,16/03/1978,0,32.2,19.2,2
-36.15,144.85,17/03/1978,0,30,17.1,3.2
-36.15,144.85,18/03/1978,0,29.8,15.6,2.7
-36.15,144.85,19/03/1978,0,27,16.1,0.3
-36.15,144.85,20/03/1978,0,22.1,15.1,0.2
-36.15,144.85,21/03/1978,15,25.5,16.4,1.9
-36.15,144.85,22/03/1978,5.7,25.8,18.1,2.4
-36.15,144.85,23/03/1978,0,22.7,15.5,2.3
-36.15,144.85,24/03/1978,0,28.6,12.2,1.6
-36.15,144.85,25/03/1978,0,22.5,16.8,0.4
-36.15,144.85,26/03/1978,12.5,18.2,11.4,0.6
-36.15,144.85,27/03/1978,0,20.5,6.9,2.3
-36.15,144.85,28/03/1978,1.4,22.7,10.7,1.9
-36.15,144.85,29/03/1978,0.2,19.8,12.5,0.3
-36.15,144.85,30/03/1978,10.1,16.1,13.5,1.6
-36.15,144.85,31/03/1978,1,18.6,9.4,2.5
-36.15,144.85,1/04/1978,0,19.9,7.2,2.5
-36.15,144.85,2/04/1978,1.4,19.8,11.9,0.9
-36.15,144.85,3/04/1978,0.2,22.3,9.9,2.4
-36.15,144.85,4/04/1978,0,23.2,7.3,2.9
-36.15,144.85,5/04/1978,0,29.4,8.8,1.3
-36.15,144.85,6/04/1978,0,30.7,9.2,1.6
-36.15,144.85,7/04/1978,0,29.9,11.2,1.8
-36.15,144.85,8/04/1978,0,27.5,11.5,1.9
-36.15,144.85,9/04/1978,0,28.7,15.3,1.4
-36.15,144.85,10/04/1978,11.9,21.4,14.9,2.5
-36.15,144.85,11/04/1978,1.6,19.6,11.1,2.1
-36.15,144.85,12/04/1978,7.7,18,10.6,1.5
-36.15,144.85,13/04/1978,0,20,9.5,1.5
-36.15,144.85,14/04/1978,0,21.8,9.6,2
-36.15,144.85,15/04/1978,0,23.1,7.4,2.5
-36.15,144.85,16/04/1978,0,22.6,8.5,1.4
-36.15,144.85,17/04/1978,0,24.7,8.4,1.7
-36.15,144.85,18/04/1978,0,26.1,11,0.6
-36.15,144.85,19/04/1978,0,22.9,9.1,1.2
-36.15,144.85,20/04/1978,0,23.9,8,0.7
-36.15,144.85,21/04/1978,0,22.6,8.5,0.6
-36.15,144.85,22/04/1978,0,25.7,10.7,0.7
-36.15,144.85,23/04/1978,0,18.8,9.7,1.4
-36.15,144.85,24/04/1978,0,18.3,3.7,0.6
-36.15,144.85,25/04/1978,1.4,18,9.3,0.8
