YYYY-MM-DD,daily_rain,max_temp,min_temp,et_morton_actual
1/01/1949,0,22.9,11,4.4
2/01/1949,0,28.1,12.7,3.5
3/01/1949,0.3,27.1,14.6,3.1
4/01/1949,0,22.3,11.6,4.6
5/01/1949,0,25.9,10.6,3.6
6/01/1949,0,23.8,10.5,2.4
7/01/1949,0,27.4,10.7,1.8
8/01/1949,0,26.8,14,2.9
9/01/1949,0,29.8,13.7,2.7
10/01/1949,0,31.1,13.2,4.1
11/01/1949,0,32.8,14.6,3.2
12/01/1949,0,34.5,16.4,2.7
13/01/1949,0,33.9,18.5,1.9
14/01/1949,0,36.7,20.9,1.3
15/01/1949,1.5,25.9,17.9,3.1
16/01/1949,0,20.2,13.3,1.3
17/01/1949,0,20.7,10.9,3.6
18/01/1949,0,22,9.7,2.8
19/01/1949,0,28.3,8.4,4.7
20/01/1949,0,36.6,11.4,3.6
21/01/1949,0,35,16,0.5
22/01/1949,0,27.3,11.3,4.4
23/01/1949,0,27.6,11.5,3.9
24/01/1949,0,29.6,13.3,4.4
25/01/1949,0,29.4,14.4,3.1
26/01/1949,0,32.1,16.1,5
27/01/1949,0,34.9,17.3,3.3
28/01/1949,0,37.2,19.1,3.1
29/01/1949,1.3,38.7,21.7,1.2
30/01/1949,0.8,37.6,22.6,0.9
31/01/1949,0.7,29.8,16.5,3.4
1/02/1949,0,29.8,13.1,4.6
2/02/1949,0,31.6,15.3,2.2
3/02/1949,0,31.3,13.4,3.5
4/02/1949,0,27.6,14.4,2.4
5/02/1949,0,33.4,15.6,2.8
6/02/1949,0,30.5,16.2,2.6
7/02/1949,0,31.3,14.3,3.5
8/02/1949,0,33.4,16.3,1.2
9/02/1949,0,32.3,16,4
10/02/1949,0,32.7,15.6,3.1
11/02/1949,0,19.7,14.6,0.5
12/02/1949,0,21.7,7.5,3.1
13/02/1949,0,25.2,9,3.3
14/02/1949,0,25.7,11.4,3.1
15/02/1949,0,28.3,11.3,3.6
16/02/1949,0,24.5,11.5,2
17/02/1949,0,22.5,8.2,3.3
18/02/1949,0,24.5,8.8,1.1
19/02/1949,0,27,12.8,2.1
20/02/1949,1.2,23.7,17,1.3
21/02/1949,39.5,22.3,15.4,1.7
22/02/1949,1.1,20.4,12.3,2
23/02/1949,0,18,7.9,3
24/02/1949,0,22.9,6.9,3
25/02/1949,0,26.7,7.7,4.4
26/02/1949,0,28.8,12.3,1.5
27/02/1949,0.3,29.5,17.7,0.9
28/02/1949,16.3,28.4,17.9,3.8
1/03/1949,0,27.3,17.4,2.2
2/03/1949,0,29,14.2,4.3
3/03/1949,0,35.3,15.9,3.3
4/03/1949,0,36.4,19.7,3.2
