mosquito_numbers,Date
0.328954305,15/09/1979
7.388819771,1/10/1979
35.50176075,15/10/1979
10.98201295,1/11/1979
35.57767328,15/11/1979
25.11861333,1/12/1979
77.79347574,15/12/1979
193.61913,1/01/1980
628.7497628,11/01/1980
277.8989098,21/01/1980
1025.316829,1/02/1980
193.7793897,15/02/1980
63.99426439,1/03/1980
60.5275921,15/03/1980
53.56050861,1/04/1980
46.59342513,15/04/1980
8.055163107,1/05/1980
8.527507749,1/10/1980
15.59580794,15/10/1980
8.611855007,1/11/1980
47.25976847,15/11/1980
96.44265441,1/12/1980
82.45787909,15/12/1980
229.8631466,1/01/1981
289.5641355,15/01/1981
142.25165,1/02/1981
93.17841554,15/02/1981
114.2736647,1/03/1981
16.07658731,15/03/1981
51.20722013,1/04/1981
16.16936929,15/04/1981
9.24445944,15/05/1981
6.073002552,1/09/1981
13.14130274,15/09/1981
23.71844885,1/10/1981
58.84064694,11/10/1981
51.85669401,21/10/1981
153.6469646,1/11/1981
55.44988719,15/11/1981
41.44824241,1/12/1981
87.10541299,15/12/1981
69.61179175,1/01/1982
301.237796,15/01/1982
634.6287666,1/02/1982
80.27328511,15/02/1982
48.73584548,1/03/1982
280.3787192,15/03/1982
13.74016827,1/04/1982
20.81690319,15/04/1982
10.36627797,1/05/1982
14.53303249,1/12/1982
21.61820214,1/01/1983
21.68567994,15/01/1983
11.20975054,1/02/1983
11.26879362,15/02/1983
21.84593973,1/03/1983
11.43748814,1/04/1983
11.89296333,15/09/1983
22.47854417,1/10/1983
29.53840963,15/10/1983
43.62440166,1/11/1983
331.4003753,11/11/1983
75.27992746,21/11/1983
226.2109103,1/12/1983
282.3861839,11/12/1983
577.1461105,21/12/1983
745.5960188,1/01/1984
1149.155473,11/01/1984
380.7350864,21/01/1984
489.534614,1/02/1984
264.9853447,11/02/1984
177.2979356,21/02/1984
61.52288974,1/03/1984
198.4016195,11/03/1984
65.13295236,21/03/1984
19.55169433,1/04/1984
23.1111486,15/04/1984
12.6352192,1/05/1984
13.04008603,15/09/1984
23.6678405,15/10/1984
37.73696308,1/11/1984
37.77913671,15/11/1984
55.37397465,1/12/1984
37.88035342,15/12/1984
51.95791072,1/01/1985
27.43816292,11/01/1985
37.99000485,21/01/1985
27.497206,1/02/1985
38.06591738,15/02/1985
10.05419311,1/03/1985
52.21095249,15/03/1985
13.72329882,15/04/1985
